Creating header
Reading header
Read from /home/vsand/OpenSpace/enlilTestData_256_256_256_32.vdf complete!
Data dimensionality: 1
Number of timesteps: 32
Dimensions: 256 x 256 x 256
Brick dimensions: 32 x 32 x 32
Number of bricks: 8 x 8 x 8
Structure: 0
Data size (bytes): 4
Out file name: /home/vsand/OpenSpace/tsp_test.tsp
Number of bricks in base octree level: 512
Number of levels in octree: 4
Number of bricks in octree: 585
Constructing octree for timestep 0
171 writing val 0.00362829 0.00288342 0.00173876
172 writing val 0.00494334 0.00363123 0.00102873
173 writing val 0.00167315 0.00172682 0.00250731
174 writing val 0.00382173 0.00206107 0.00158367
175 writing val 0.00109113 0.000972845 0.00080501
176 writing val 0.195758 0.0362409 0.0074735
177 writing val 0.00721944 0.00466964 0.00224854
178 writing val 0 0 0
179 writing val 0 0 0
180 writing val 0.199422 0.0378112 0.00754858
181 writing val 0.00769805 0.00524322 0.00237833
182 writing val 0 0 0
183 writing val 0 0 0
184 writing val 0.00238858 0.00184959 0.00106761
185 writing val 0.00111812 0.000941327 0.0006319
186 writing val 0 0 0
187 writing val 0 0 0
188 writing val 0.00333502 0.00306515 0.00136718
189 writing val 0.00299623 0.00240591 0.00172794
190 writing val 0 0 0
191 writing val 0 0 0
192 writing val 0.00192275 0.000791496 0
193 writing val 0 0 0
194 writing val 0.000778588 0.000705925 0
195 writing val 0 0 0
196 writing val 0.00063132 0.000454838 0
197 writing val 0 0 0
198 writing val 0.00112737 0.000980785 0
199 writing val 0 0 0
200 writing val 0 0 0
201 writing val 0 0 0
202 writing val 0 0 0
203 writing val 0 0 0
204 writing val 0 0 0
205 writing val 0 0 0
206 writing val 0 0 0
207 writing val 0 0 0
208 writing val 0.000607117 0.000525679 0
209 writing val 0 0 0
210 writing val 0 0 0
211 writing val 0 0 0
212 writing val 0.000636057 0.000572518 0
213 writing val 0 0 0
214 writing val 0 0 0
215 writing val 0 0 0
216 writing val 0 0 0
217 writing val 0 0 0
218 writing val 0 0 0
219 writing val 0 0 0
220 writing val 0 0 0
221 writing val 0 0 0
222 writing val 0 0 0
223 writing val 0 0 0
224 writing val 0.00142529 0.00154959 0
225 writing val 0 0 0
226 writing val 0.000712165 0.000454716 0
227 writing val 0 0 0
228 writing val 0.0019892 0.000687639 0
229 writing val 0 0 0
230 writing val 0.00123858 0.000863242 0
231 writing val 0 0 0
232 writing val 0 0 0
233 writing val 0 0 0
